Date : 2025-04-27 01:13:12
Directory : c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app
Total : 119 files,  25464 codes, 1849 comments, 2741 blanks, all 30054 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugin_registrant.h                 | C++             |          5 |          5 |          6 |         16 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\flutter_window.cpp                             | C++             |         49 |          7 |         16 |         72 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\flutter_window.h                               | C++             |         20 |          5 |          9 |         34 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\main.cpp                                       | C++             |         30 |          4 |         10 |         44 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\resource.h                                     | C++             |          9 |          6 |          2 |         17 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\utils.cpp                                      | C++             |         54 |          2 |         10 |         66 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\utils.h                                        | C++             |          8 |          6 |          6 |         20 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\win32_window.cpp                               | C++             |        210 |         24 |         55 |        289 |
| c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\win32_window.h                                 | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                            |                 |     25,464 |      1,849 |      2,741 |     30,054 |
+------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
